"","AmE_wordform","DE_wordform","ES_wordform","NLD_orthg_AmE_DE","NLD_orthg_AmE_ES","NLD_orthg_DE_ES","NLD_phonoL_AmE_DE","NLD_phonoL_AmE_ES","NLD_phonoL_DE_ES","Subtlex_ES_log10.abs.1.","length","type"
"29","clamor","Geschrei","clamor",0.125,1,0.125,0.37,0.896,0.357,1.38,6,"two_way_cognate"
"30","fiscal","steuerlich","fiscal",0.1,1,0.1,0.417,0.916,0.355,3.2,6,"two_way_cognate"
"31","civil","bürgerlich","civil",0.1,1,0.1,0.471,0.86,0.449,2.93,5,"two_way_cognate"
"32","animal","Tier","animal",0.167,1,0.167,0.26,0.9,0.283,3.271,6,"two_way_cognate"
"33","collar","Hundehalsband","collar",0.154,1,0.154,0.253,0.688,0.297,2.869,6,"two_way_cognate"
"34","actor","Schauspieler","actor",0.167,1,0.167,0.453,0.875,0.412,3.091,5,"two_way_cognate"
"35","aurora","Polarlicht","aurora",0.1,1,0.1,0.491,0.58,0.376,2.17,6,"two_way_cognate"
"36","viable","lebensfähig","viable",0,1,0,0.406,0.305,0.32,2.079,6,"two_way_cognate"
"37","torso","Oberkörper","torso",0.1,1,0.1,0.376,0.86,0.414,2.025,5,"two_way_cognate"
"38","halo","Heiligenschein","halo",0.143,1,0.143,0.34,0.55,0.258,1.934,4,"two_way_cognate"
"39","casual","zufällig","casual",0.125,1,0.125,0.41,0.74,0.41,2.272,6,"two_way_cognate"
"40","pelvis","Becken","pelvis",0.167,1,0.167,0.612,0.926,0.547,1.785,6,"two_way_cognate"
"41","pasta","Nudeln","pasta",0,1,0,0.323,0.848,0.323,2.763,5,"two_way_cognate"
"42","rumor","Gerücht","rumor",0.143,1,0.143,0.373,0.815,0.423,2.751,5,"two_way_cognate"
"43","honor","Ehre","honor",0,1,0,0.391,0.769,0.376,3.515,5,"two_way_cognate"
"44","editor","Herausgeber","editor",0.182,1,0.182,0.422,0.782,0.351,2.708,6,"two_way_cognate"
"45","total","gesamt","total",0.167,1,0.167,0.491,0.828,0.534,3.311,5,"two_way_cognate"
"46","mortal","sterblich","mortal",0.111,1,0.111,0.495,0.807,0.427,2.902,6,"two_way_cognate"
"47","color","Farbe","color",0,1,0,0.402,0.855,0.33,3.442,5,"two_way_cognate"
"48","pelvis","Becken","pelvis",0.167,1,0.167,0.612,0.926,0.547,1.785,6,"two_way_cognate"
"49","dye","färben","teñir",0.167,0,0,0.213,0.332,0.572,1.146,5,"non_cognates"
"50","mountain","Gebirge","sierra",0,0.125,0.143,0.293,0.311,0.366,2.658,6,"non_cognates"
"51","ready","fertig","listo",0.167,0,0.167,0.615,0.591,0.345,4.03,5,"non_cognates"
"52","soft","weich","blando",0,0,0,0.409,0.49,0.323,2.292,6,"non_cognates"
"53","tip","Spitze","punta",0.167,0,0.167,0.44,0.417,0.425,2.968,5,"non_cognates"
"54","lid","Deckel","tapón",0,0,0,0.297,0.377,0.635,1.785,5,"non_cognates"
"55","evil","Böse","maldad",0,0,0,0.45,0.394,0.373,2.656,6,"non_cognates"
"56","beak","Schnabel","pico",0.125,0,0,0.297,0.75,0.31,2.76,4,"non_cognates"
"57","gift","Geschenk","regalo",0.125,0.167,0.125,0.496,0.327,0.476,3.597,6,"non_cognates"
"58","quilt","Tagesdecke","colcha",0,0,0.1,0.364,0.581,0.506,1.556,6,"non_cognates"
"59","ugly","hässlich","feo",0.125,0,0,0.47,0.187,0.276,3.16,3,"non_cognates"
"60","century","Jahrhundert","siglo",0.182,0,0,0.373,0.457,0.324,3.092,5,"non_cognates"
"61","customs","Zoll","aduana",0.143,0,0,0.325,0.433,0.275,2.23,6,"non_cognates"
"62","stick","zusammenkleben","pegar",0.143,0,0.071,0.266,0.353,0.286,2.517,5,"non_cognates"
"63","thread","Faden","hilo",0.167,0.167,0,0.595,0.363,0.255,2.589,4,"non_cognates"
"64","curly","lockig","rizado",0,0,0,0.232,0.505,0.367,1.69,6,"non_cognates"
"65","war","Krieg","guerra",0,0.167,0,0.126,0.288,0.265,3.948,6,"non_cognates"
"66","fin","Flosse","aleta",0.167,0,0.167,0.455,0.48,0.558,1.699,5,"non_cognates"
"67","call","anrufen","llamar",0,0.167,0,0.232,0.358,0.429,3.85,6,"non_cognates"
"68","dagger","Dolch","puñal",0.167,0,0,0.456,0.692,0.416,1.756,5,"non_cognates"
"69","chalk","Kreide","tiza",0,0,0.167,0.38,0.35,0.477,2.158,4,"non_cognates"
"70","mood","Laune","ánimo",0,0,0,0.472,0.397,0.472,2.777,5,"non_cognates"
"71","cake","Kuchen","torta",0.167,0,0,0.413,0.297,0.338,2.851,5,"non_cognates"
"72","face","Gesicht","rostro",0.143,0,0.143,0.367,0.367,0.471,3.222,6,"non_cognates"
"73","carry","tragen","llevar",0.167,0,0,0.358,0.465,0.458,3.748,6,"non_cognates"
"74","wing","Flügel","ala",0.167,0,0.167,0.376,0.063,0.273,2.796,3,"non_cognates"
"75","kick","Fußtritt","patada",0.125,0,0.125,0.298,0.211,0.294,2.715,6,"non_cognates"
"76","clash","zusammenprallen","chocar",0.067,0.167,0.067,0.23,0.49,0.359,2.299,6,"non_cognates"
"77","smooth","weich","suave",0.167,0.167,0,0.446,0.496,0.38,3.031,5,"non_cognates"
"78","yield","ergeben","rendir",0.143,0.167,0.143,0.355,0.439,0.4,2.223,6,"non_cognates"
"79","ground","Boden","suelo",0.167,0,0,0.318,0.385,0.195,3.503,5,"non_cognates"
"80","bowl","Schüssel","cuenco",0.125,0,0.125,0.415,0.161,0.315,1.23,6,"non_cognates"
"81","withdraw","abheben","sacar",0.125,0.125,0,0.16,0.341,0.363,3.536,5,"non_cognates"
"82","sparkle","Glanz","brillo",0.143,0.143,0,0.314,0.388,0.34,2.517,6,"non_cognates"
"83","breath","Atem","hálito",0.167,0.167,0,0.454,0.418,0.485,0.903,6,"non_cognates"
"84","notice","Benachrichtigung","aviso",0.188,0.167,0.125,0.286,0.355,0.272,3.049,5,"non_cognates"
"85","huge","riesig","enorme",0,0.167,0,0.507,0.303,0.264,3.375,6,"non_cognates"
"86","bowl","Schüssel","cuenco",0.125,0,0.125,0.415,0.161,0.315,1.23,6,"non_cognates"
"87","crutch","Krücke","muleta",0.167,0,0,0.489,0.441,0.42,1.699,6,"non_cognates"
"88","hanger","Kleiderbügel","percha",0.167,0,0.167,0.41,0.323,0.337,1.633,6,"non_cognates"
"89","wrist","Handgelenk","muñeca",0,0,0.1,0.25,0.35,0.332,3.093,6,"non_cognates"
"90","deer","Hirsch","venado",0,0.167,0,0.561,0.356,0.254,2.127,6,"non_cognates"
"91","team","Mannschaft","equipo",0.1,0,0,0.283,0.48,0.297,4.056,6,"non_cognates"
"92","arrow","Pfeil","flecha",0,0,0.167,0.2,0.285,0.357,2.458,6,"non_cognates"
"93","tidbit","Leckerbissen","tapa",0.167,0.167,0,0.487,0.497,0.324,2.747,4,"non_cognates"
"94","lining","Futter","forro",0,0,0.167,0.545,0.541,0.825,1.886,5,"non_cognates"
"95","ready","bereit","listo",0.167,0,0,0.431,0.591,0.256,4.03,5,"non_cognates"
"96","expensive","teuer","caro",0.111,0,0,0.197,0.376,0.373,2.946,4,"non_cognates"
